Tempo,Aquecedor,Sensor
0,0,23
0.5,0,23
1,0,18.91495601
1.5,0,18.91495601
2,0,19.40371457
2.5,0,19.40371457
3,0,19.40371457
3.5,0,19.40371457
4,0,19.89247312
4.5,0,19.89247312
5,0,19.40371457
5.5,0,19.40371457
6,0,19.89247312
6.5,0,19.89247312
7,0,19.40371457
7.5,0,19.40371457
8,0,19.40371457
8.5,0,19.40371457
9,0,19.89247312
9.5,0,19.89247312
10,0,18.91495601
10.5,0,18.91495601
11,0,19.40371457
11.5,0,19.40371457
12,0,19.40371457
12.5,0,19.40371457
13,0,19.40371457
13.5,0,19.40371457
14,0,19.40371457
14.5,0,19.40371457
15,0,19.40371457
15.5,0,19.40371457
16,0,19.40371457
16.5,0,19.40371457
17,0,19.40371457
17.5,0,19.40371457
18,0,19.40371457
18.5,0,19.40371457
19,0,19.89247312
19.5,0,19.89247312
20,0,19.89247312
20.5,0,19.89247312
21,0,19.40371457
21.5,0,19.40371457
22,0,19.40371457
22.5,0,19.40371457
23,0,19.40371457
23.5,0,19.40371457
24,0,19.89247312
24.5,0,19.89247312
25,0,18.91495601
25.5,0,18.91495601
26,0,19.40371457
26.5,0,19.40371457
27,0,19.40371457
27.5,0,19.40371457
28,0,19.40371457
28.5,0,19.40371457
29,0,19.89247312
29.5,0,19.89247312
30,0,19.89247312
30,70,19.89247312
30,70,19.89247312
30.5,70,19.89247312
31,70,18.91495601
31.5,70,18.91495601
32,70,19.40371457
32.5,70,19.40371457
33,70,19.89247312
33.5,70,19.89247312
34,70,19.89247312
34.5,70,19.89247312
35,70,19.40371457
35.5,70,19.40371457
36,70,19.40371457
36.5,70,19.40371457
37,70,19.40371457
37.5,70,19.40371457
38,70,19.89247312
38.5,70,19.89247312
39,70,19.40371457
39.5,70,19.40371457
40,70,19.89247312
40.5,70,19.89247312
41,70,20.38123167
41.5,70,20.38123167
42,70,19.89247312
42.5,70,19.89247312
43,70,20.38123167
43.5,70,20.38123167
44,70,20.38123167
44.5,70,20.38123167
45,70,19.89247312
45.5,70,19.89247312
46,70,20.38123167
46.5,70,20.38123167
47,70,20.86999022
47.5,70,20.86999022
48,70,20.86999022
48.5,70,20.86999022
49,70,20.86999022
49.5,70,20.86999022
50,70,20.38123167
50.5,70,20.38123167
51,70,21.35874878
51.5,70,21.35874878
52,70,21.35874878
52.5,70,21.35874878
53,70,21.35874878
53.5,70,21.35874878
54,70,21.84750733
54.5,70,21.84750733
55,70,21.84750733
55.5,70,21.84750733
56,70,22.82502444
56.5,70,22.82502444
57,70,22.33626588
57.5,70,22.33626588
58,70,22.82502444
58.5,70,22.82502444
59,70,22.33626588
59.5,70,22.33626588
60,70,22.33626588
60.5,70,22.33626588
61,70,22.33626588
61.5,70,22.33626588
62,70,22.82502444
62.5,70,22.82502444
63,70,23.31378299
63.5,70,23.31378299
64,70,23.80254154
64.5,70,23.80254154
65,70,23.31378299
65.5,70,23.31378299
66,70,23.31378299
66.5,70,23.31378299
67,70,23.31378299
67.5,70,23.31378299
68,70,24.2913001
68.5,70,24.2913001
69,70,24.2913001
69.5,70,24.2913001
70,70,24.78005865
70.5,70,24.78005865
71,70,24.2913001
71.5,70,24.2913001
72,70,25.2688172
72.5,70,25.2688172
73,70,25.2688172
73.5,70,25.2688172
74,70,25.2688172
74.5,70,25.2688172
75,70,24.78005865
75.5,70,24.78005865
76,70,25.75757576
76.5,70,25.75757576
77,70,26.24633431
77.5,70,26.24633431
78,70,25.75757576
78.5,70,25.75757576
79,70,26.24633431
79.5,70,26.24633431
80,70,26.24633431
80.5,70,26.24633431
81,70,27.22385142
81.5,70,27.22385142
82,70,26.73509286
82.5,70,26.73509286
83,70,26.73509286
83.5,70,26.73509286
84,70,27.22385142
84.5,70,27.22385142
85,70,26.73509286
85.5,70,26.73509286
86,70,27.22385142
86.5,70,27.22385142
87,70,27.22385142
87.5,70,27.22385142
88,70,27.71260997
88.5,70,27.71260997
89,70,27.22385142
89.5,70,27.22385142
90,70,28.20136852
90.5,70,28.20136852
91,70,27.71260997
91.5,70,27.71260997
92,70,27.71260997
92.5,70,27.71260997
93,70,28.20136852
93.5,70,28.20136852
94,70,28.20136852
94.5,70,28.20136852
95,70,28.69012708
95.5,70,28.69012708
96,70,28.69012708
96.5,70,28.69012708
97,70,28.69012708
97.5,70,28.69012708
98,70,29.17888563
98.5,70,29.17888563
99,70,29.66764418
99.5,70,29.66764418
100,70,29.17888563
100.5,70,29.17888563
101,70,29.66764418
101.5,70,29.66764418
102,70,30.15640274
102.5,70,30.15640274
103,70,29.66764418
103.5,70,29.66764418
104,70,30.15640274
104.5,70,30.15640274
105,70,30.15640274
105.5,70,30.15640274
106,70,30.15640274
106.5,70,30.15640274
107,70,31.13391984
107.5,70,31.13391984
108,70,31.13391984
108.5,70,31.13391984
109,70,31.13391984
109.5,70,31.13391984
110,70,31.6226784
110.5,70,31.6226784
111,70,31.13391984
111.5,70,31.13391984
